comment_id,content,label
57507668,"Tôi thấy nếu đã gửi thông báo mà sàn thương mại điện tử hay bất kỳ nhà cung cấp dịch nào khác vẫn không đăng ký kinh doanh, không thực hiện đúng nghĩa vụ theo luật Việt Nam thì có thể áp dụng biện pháp chặn tên miền, yêu cầu các đơn vị vận chuyển, thanh toán không giao dịch những đơn hàng từ sàn/những nhà cung cấp đó.",0
57511471,"Người VN mình tự đầu độc nhau trên các sàn và mạng xã hội, cứ lướt một vòng sẽ thấy ngay hàng giả và nhái tràn lan, từ mỹ phẩm kem đánh răng...những loại hàng giả nhái giá chỉ vài chục nghìn đồng nhiều người cứ nghĩ thôi mua xài đỡ cũng được. Nhưng hậu quả của nó lâu dài và nặng nề lắm, chứa kể bệnh tật từ những sản phẩm đó vì đa số nhựa dùng trong các loại rẻ đó là loại tái chế gây ung thư hàng đầu.",-1
57511996,"Có lợi nhuận thì họ kinh doanh thôi, cái quan trọng là vì sao hàn giả nhiều như vậy vẫn có thể buôn bán công khai mà không bị xử lý.",0
57512103,"Làm mà không được thì tự chịu, làm mà trôi chảy là kiểu gì cũng có các đơn vị  hỏi thăm rất mệt mỏi",-1
57512263,"Vấn đề đó không liên quan ở đây bạn ạ. Nếu đã biết đấy là hàng giả nhái hoặc giá rẻ, chất lượng kém mà vẫn cố mua xài đỡ thì vấn đề ở phía người mua.",0
57512558,"Bạn nói vậy là bậy rồi, người tiêu dùng nhiều người còn không biết, chỉ là do người bán cố tình lừa người dùng thôi. Vậy người mua hàng giả hàng nhái là do họ dốt???",-1
57512653,"Bạn trồng một hàng rau, bạn phát hiện ra có sâu hại trên một cây ở giữa hàng thì bạn sẽ bắt sâu ở cây đó luôn hay quay lại kiểm tra từ cây đầu hàng?",0
57513206,"Tôi không nói bậy, tôi cũng không nói đến tất cả những người tiêu dùng mua hàng nhái. Tôi chỉ nói đến nhóm người tiêu dùng biết hàng nhái nhưng vẫn cố mua xài đỡ cũng được mà bạn đề cập đến trong bình luận trước.",0
57513356,"Bác bảo yêu cầu các đơn vị vận chuyển, thanh toán không giao dịch những đơn hàng từ sàn/những nhà cung cấp đó.  chẳng ai quan tâm cái yêu cầu đó hết nhé!",-1
57513650,"nghèo quá, biết phải làm sao bạn, lương trung bình chỉ có 8tr/người năm 2024. Bạn tính xem chi tiêu kiểu gì???",-1
